Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
acsacsar-ams-ipv4,acsacsar-ams-ipv4,"Public non-censoring, non-logging, DNSSEC-capable, DNSCrypt-enabled DNS resolver hosted on Scaleway by @acsacsar (twitter)",,,,2,yes,yes,no,51.158.166.97,2.dnscrypt-cert.acsacsar-ams.com,0327:F3CF:927E:995F:46FB:2381:E07C:1C76:4EF2:5F5D:8442:CE48:BDAE:E457:7A06:B651,
acsacsar-ams-ipv6,acsacsar-ams-ipv6,"Public non-censoring, non-logging, DNSSEC-capable, DNSCrypt-enabled DNS resolver hosted on Scaleway by @acsacsar (twitter)",,,,2,yes,yes,no,[2001:bc8:1824:738::1],2.dnscrypt-cert.acsacsar-ams.com,0327:F3CF:927E:995F:46FB:2381:E07C:1C76:4EF2:5F5D:8442:CE48:BDAE:E457:7A06:B651,
adguard-dns,adguard-dns,Remove ads and protect your computer from malware,,,,2,yes,yes,no,94.140.14.14:5443,2.dnscrypt.default.ns1.adguard.com,D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873,
adguard-dns-family,adguard-dns-family,Adguard DNS with safesearch and adult content blocking,,,,2,yes,yes,no,94.140.14.15:5443,2.dnscrypt.family.ns1.adguard.com,B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA,
adguard-dns-family-ipv6,adguard-dns-family-ipv6,Adguard DNS with safesearch and adult content blocking,,,,2,yes,yes,no,[2a10:50c0::bad1:ff]:5443,2.dnscrypt.family.ns1.adguard.com,B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA,
adguard-dns-ipv6,adguard-dns-ipv6,Remove ads and protect your computer from malware,,,,2,yes,yes,no,[2a10:50c0::ad1:ff]:5443,2.dnscrypt.default.ns1.adguard.com,D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873,
adguard-dns-unfiltered,adguard-dns-unfiltered,AdGuard public DNS servers without filters,,,,2,yes,yes,no,94.140.14.140:5443,2.dnscrypt.unfiltered.ns1.adguard.com,B5E8:44D6:B83A:3E3E:1268:EB68:1FBE:A70D:E3C5:FA68:DBD6:8814:1DBF:2EC0:66B2:DAFA,
adguard-dns-unfiltered-ipv6,adguard-dns-unfiltered-ipv6,AdGuard public DNS servers without filters,,,,2,yes,yes,no,[2a10:50c0::1:ff]:5443,2.dnscrypt.unfiltered.ns1.adguard.com,B5E8:44D6:B83A:3E3E:1268:EB68:1FBE:A70D:E3C5:FA68:DBD6:8814:1DBF:2EC0:66B2:DAFA,
ams-dnscrypt-nl,ams-dnscrypt-nl,"Resolver in Amsterdam. Dnscrypt protocol. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,51.15.124.208:4343,2.dnscrypt-cert.ams-dnscrypt-nl,BC13:88F5:763E:3DEC:75F1:C90F:C915:BFB6:8AEA:DFEB:1C45:F698:5180:639C:60E7:F162,
ams-dnscrypt-nl-ipv6,ams-dnscrypt-nl-ipv6,"Resolver in Amsterdam. Dnscrypt protocol. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,[2001:bc8:1830:2018::1]:4343,2.dnscrypt-cert.ams-dnscrypt-nl,BC13:88F5:763E:3DEC:75F1:C90F:C915:BFB6:8AEA:DFEB:1C45:F698:5180:639C:60E7:F162,
arvind-io,arvind-io,Public resolver by EnKrypt (https://arvind.io).,,,,2,yes,yes,no,206.189.142.179:5353,2.dnscrypt-cert.arvind.io,8E46:27C7:3883:A851:0308:21BA:5AE7:E5D0:41F4:AAEF:95B7:8290:16CB:651D:87C3:28C9,
bcn-dnscrypt,bcn-dnscrypt,"Resolver in Barcelona, Spain. DNSCrypt protocol. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,185.253.154.66:4343,2.dnscrypt-cert.bcn-dnscrypt,25A9:A8B4:8FA1:C162:3C22:B274:66AF:A87C:B685:09D7:AE38:E359:438E:FC6A:A59C:66BD,
cisco,cisco,Remove your DNS blind spot (DNSCrypt protocol),,,,1,yes,no,no,208.67.220.220,2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cisco-familyshield,cisco-familyshield,Block websites not suitable for children (DNSCrypt protocol),,,,1,yes,no,no,208.67.220.123,2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cisco-familyshield-ipv6,cisco-familyshield-ipv6,Block websites not suitable for children (IPv6),,,,1,yes,no,no,[2620:119:35::35],2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cisco-ipv6,cisco-ipv6,Cisco OpenDNS over IPv6 (DNSCrypt protocol),,,,1,yes,no,no,[2620:0:ccc::2],2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cleanbrowsing-adult,cleanbrowsing-adult,"Blocks access to all adult, pornographic and explicit sites. It does",,,,2,yes,yes,no,185.228.168.10:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-adult-ipv6,cleanbrowsing-adult-ipv6,"Blocks access to all adult, pornographic and explicit sites. It does",,,,2,yes,yes,no,[2a0d:2a00:1::1]:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-family,cleanbrowsing-family,"Blocks access to all adult, pornographic and explicit sites. It also",,,,2,yes,yes,no,185.228.168.168:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-family-ipv6,cleanbrowsing-family-ipv6,"Blocks access to all adult, pornographic and explicit sites. It also",,,,2,yes,yes,no,[2a0d:2a00:1::]:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-security,cleanbrowsing-security,"Block access to phishing, malware and malicious domains. It does not block adult content.",,,,2,yes,yes,no,185.228.168.9:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
