Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
adguard-dns,adguard-dns,Remove ads and protect your computer from malware,,,,2,yes,yes,no,94.140.14.14:5443,2.dnscrypt.default.ns1.adguard.com,D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873,
adguard-dns-family,adguard-dns-family,Adguard DNS with safesearch and adult content blocking,,,,2,yes,yes,no,94.140.14.15:5443,2.dnscrypt.family.ns1.adguard.com,B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA,
adguard-dns-family-ipv6,adguard-dns-family-ipv6,Adguard DNS with safesearch and adult content blocking (over IPv6),,,,2,yes,yes,no,[2a10:50c0::bad1:ff]:5443,2.dnscrypt.family.ns1.adguard.com,B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA,
adguard-dns-ipv6,adguard-dns-ipv6,Remove ads and protect your computer from malware (over IPv6),,,,2,yes,yes,no,[2a10:50c0::ad1:ff]:5443,2.dnscrypt.default.ns1.adguard.com,D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873,
adguard-dns-unfiltered,adguard-dns-unfiltered,AdGuard public DNS servers without filters,,,,2,yes,yes,no,94.140.14.140:5443,2.dnscrypt.unfiltered.ns1.adguard.com,B5E8:44D6:B83A:3E3E:1268:EB68:1FBE:A70D:E3C5:FA68:DBD6:8814:1DBF:2EC0:66B2:DAFA,
adguard-dns-unfiltered-ipv6,adguard-dns-unfiltered-ipv6,AdGuard public DNS servers without filters (over IPv6),,,,2,yes,yes,no,[2a10:50c0::1:ff]:5443,2.dnscrypt.unfiltered.ns1.adguard.com,B5E8:44D6:B83A:3E3E:1268:EB68:1FBE:A70D:E3C5:FA68:DBD6:8814:1DBF:2EC0:66B2:DAFA,
altername,altername,"Protocol: DNSCrypt | Features: Non-logging, Non-filtering, DNSSEC, EmerDNS | Location: Moscow, Russia",,,,2,yes,yes,no,185.204.2.8:8443,2.dnscrypt-cert.altername,99F1:9379:CAE2:62CF:1509:F483:214A:3A53:AC90:E60F:7C8A:D053:EC55:87DF:2615:0753,
altername-ipv6,altername-ipv6,"Protocol: DNSCrypt IPv6 | Features: Non-logging, Non-filtering, DNSSEC, EmerDNS | Location: Moscow, Russia",,,,2,yes,yes,no,[2a04:5200:fff4::13ff]:8443,2.dnscrypt-cert.altername,99F1:9379:CAE2:62CF:1509:F483:214A:3A53:AC90:E60F:7C8A:D053:EC55:87DF:2615:0753,
ams-dnscrypt-nl,ams-dnscrypt-nl,"Resolver in Amsterdam. Dnscrypt protocol. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,89.38.131.38:4343,2.dnscrypt-cert.ams-dnscrypt-nl,A587:4BDA:F416:8298:FBEC:1C9C:9975:02BE:5A39:46FD:D71B:2E7E:F3D4:8E27:77AC:D45A,
ams-dnscrypt-nl-ipv6,ams-dnscrypt-nl-ipv6,"Resolver in Amsterdam. Dnscrypt protocol. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,[2a0c:b9c0:f:451d::1]:4343,2.dnscrypt-cert.ams-dnscrypt-nl,A587:4BDA:F416:8298:FBEC:1C9C:9975:02BE:5A39:46FD:D71B:2E7E:F3D4:8E27:77AC:D45A,
